tier_rank,structured_id,source_record_id,historical_headword,historical_part_of_speech,modern_canonical_candidate,modern_part_of_speech_candidate,current_use_status,current_evidence_source_count,current_evidence_sources,current_corpus_frequency,sense_split_status,borrowing_status,review_decision,approved_canonical_spelling,approved_part_of_speech,approved_current_use_status,sense_review_decision,reviewer,review_date,review_notes
23,n1906-entry-003281,kha-n1906-003281,sniang,noun,sniang,noun,current_attested,1,khasi-ner-2026,171,single_historical_gloss,unassessed,approve,sniang,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
24,n1906-entry-002180,kha-n1906-002180,me,pronoun,me,pronoun,current_attested,1,khasi-ner-2026,89,single_historical_gloss,unassessed,approve,me,pronoun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical pronoun form/current use. Register and final grammatical treatment remain for linguistic review.
25,n1906-entry-001955,kha-n1906-001955,lieh,adjective,lieh,adjective,current_attested,1,khasi-ner-2026,80,single_historical_gloss,unassessed,approve,lieh,adjective,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adjective form/current use. Final semantic verification remains separate.
26,n1906-entry-003150,kha-n1906-003150,sim,noun,sim,noun,current_attested,1,khasi-ner-2026,80,single_historical_gloss,unassessed,approve,sim,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
27,n1906-entry-003142,kha-n1906-003142,shkor,noun,shkor,noun,current_attested,1,khasi-ner-2026,77,needs_semantic_split,unassessed,approve,shkor,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Multiple senses remain for semantic review.
28,n1906-entry-002454,kha-n1906-002454,phria,noun,phria,noun,current_attested,1,khasi-ner-2026,69,single_historical_gloss,unassessed,approve,phria,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
29,n1906-entry-000108,kha-n1906-000108,babha,adjective,babha,adjective,current_attested,1,khasi-ner-2026,59,single_historical_gloss,unassessed,approve,babha,adjective,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical adjective form/current use. Final semantic verification remains separate.
30,n1906-entry-002658,kha-n1906-002658,pylleng,noun,pylleng,noun,current_attested,1,khasi-ner-2026,51,single_historical_gloss,unassessed,approve,pylleng,noun,current_attested,retain_review_state,KurbahTech,2026-09-14,Approved canonical noun form/current use. Final semantic verification remains separate.
31,n1906-entry-002451,kha-n1906-002451,phlang,noun,phlang,noun,current_attested,1,khasi-ner-2026,44,needs_semantic_split,unassessed,pending,,,,,,,
32,n1906-entry-002681,kha-n1906-002681,pyrthat,noun,pyrthat,noun,current_attested,1,khasi-ner-2026,33,needs_semantic_split,unassessed,pending,,,,,,,
33,n1906-entry-001003,kha-n1906-001003,kynjat,verb,kynjat,verb,current_attested,1,khasi-ner-2026,20,needs_semantic_split,unassessed,pending,,,,,,,
34,n1906-entry-002977,kha-n1906-002977,reng,noun,reng,noun,current_attested,1,khasi-ner-2026,19,single_historical_gloss,unassessed,pending,,,,,,,
35,n1906-entry-002450,kha-n1906-002450,phalang,verb,phalang,verb,current_attested,1,khasi-ner-2026,13,needs_semantic_split,unassessed,pending,,,,,,,
36,n1906-entry-003137,kha-n1906-003137,sharing,noun,sharing,noun,current_attested,1,khasi-ner-2026,12,single_historical_gloss,unassessed,pending,,,,,,,
37,n1906-entry-002679,kha-n1906-002679,pyrsut,noun,pyrsut,noun,current_attested,1,khasi-ner-2026,9,needs_semantic_split,unassessed,pending,,,,,,,
38,n1906-entry-000140,kha-n1906-000140,barobor,adverb,barobor,adverb,current_attested,1,khasi-ner-2026,5,single_historical_gloss,historical_source_marked_loan_or_foreign,pending,,,,,,,
39,n1906-entry-003180,kha-n1906-003180,skong,noun,skong,noun,current_attested,1,khasi-ner-2026,4,single_historical_gloss,unassessed,pending,,,,,,,
40,n1906-entry-001483,kha-n1906-001483,jlih,adjective,jlih,adjective,current_attested,1,khasi-ner-2026,3,single_historical_gloss,unassessed,pending,,,,,,,
41,n1906-entry-000709,kha-n1906-000709,dkhan,noun,dkhan,noun,current_attested,1,khasi-ner-2026,2,single_historical_gloss,unassessed,pending,,,,,,,
42,n1906-entry-002257,kha-n1906-002257,musla,noun,musla,noun,current_attested,1,khasi-ner-2026,1,needs_semantic_split,historical_source_marked_loan_or_foreign,pending,,,,,,,
